intent,answer_normalised
order,i would like to pickup a veggie sub with a cookie from subway
cleaning,on vacuum cleaner
cleaning,if my vacuum cleaner is not activated please activate it
hue_lightup,make this room brighter
hue_lightdim,turn the lights down a bit
music,find and make a playlist of all the latest dancing tracks
cleaning,power up the vacuum
hue_lightup,please siri put on multi colored lightning in my apartment set for festival diwali
order,yo order take out from jason's deli on sixth ave
volume_down,lower all volume on speakers please
hue_lightdim,dim all interior lights
hue_lightdim,please turn down the lights in the house
hue_lightchange,make curser adjustable position
music,please play <unk>
music,play my mashup
music,play some lady gaga
taxi,call an uber for me
taxi,find me a taxi
music,can you play my favorites playlist
hue_lightoff,bed room two switch off the lights
hue_lightchange,make all the lights in the house orange
cleaning,can you start the vacuum
music,play music on shuffle
coffee,set coffee to bre at seven am
music,set a classic music
hue_lightdim,minimize the lights
cleaning,please run the vacuum
volume_up,could you speak up
cleaning,start the robot roomba
taxi,where is the closest uber
music,play next song of my selected
music,put on be warned by tech
hue_lightoff,please turn off any lights that are still on
hue_lightdim,turn my lights down to a lower level of brightness
order,is there any good chinese takeout that's open late
music,please paly for me elvis preley song again
music,play best hits
hue_lightchange,change the lights in my home to green
hue_lightchange,chane light colour to green
music,i want some jazz music to play
music,play hopsin from my latest playlist
music,i want you to put on be warned by tech
volume_mute,disable music player
music,from my play list filter devotional songs and play write now or me
hue_lightdim,please lower the lights
music,play adele hello
music,play let me love you by ariana grande
music,stop the music
music,i want to play the song again
hue_lightchange,modify the light colours of the house and make them dark instead
hue_lightoff,shut the lights off in my bedroom please
volume_up,just increase the volume a little
music,rock with rock star
hue_lightoff,will you turn off the lights please
music,find jazz music on my playlist
order,open takeout menus
music,new music tracks
volume_mute,help me to mute my speaker
volume_mute,mute yourself until i say otherwise
volume_up,increase volume
hue_lightdim,dim the lights
order,find restaurant order food name
order,hey order a side of hot wings with my previous order
hue_lighton,overhead lights on please
music,play my most recent playlist
coffee,i want a coffee
music,play favourite music
taxi,please book a taxi in uber for me to go to the airport today
music,please play the latest song from the album abbas
coffee,get coffee maker started for a fresh cup
hue_lightchange,change the light in the bathroom to yellow
volume_mute,mute speaker
cleaning,turn my iroomba on
music,play chopin
order,find and order handi paneer in pavitra
music,play all by playlist
hue_lightchange,please adjust the colors in my lights
music,play 'do re mi
music,play jars of clay's if i left the zoo
hue_lightchange,make a contrast one
music,can you put on my playlist of metal music
music,play justin bieber on shuffle
order,any low priced delicacies
volume_up,rise volume
hue_lightoff,turn off living room lights
music,play my favorite song
hue_lightup,more lights please
volume_down,low the volume
music,i like to hear 'kuch kuch hotha hai
volume_mute,turn off the 's sound
cleaning,start the robot vacuum cleaner at one pm today
hue_lightup,brighten lights
cleaning,turn on vacuum cleaning
volume_up,volume up
music,play bohemian raphsody for me
music,move this song to up next
hue_lightchange,please change the house lights to blue
hue_lightoff,no lights in the kitchen
taxi,open lyft
cleaning,start vacuuming
hue_lightchange,change the lights in my home to orange
music,shuffle and play all songs by gavenda artist
cleaning,turn on the robot vacuum
hue_lightchange,i want purple lights
hue_lightoff,please turn lights off
coffee,prepare coffee
coffee,please make me a coffee using the coffe machine
taxi,can you book an uber after i left for office
volume_mute,pause the music
hue_lightdim,turn down the lights
music,play my r. n. b. playlist
coffee,start coffee machine
music,please play only music of pop mi <unk>
coffee,want to wake up can u order a caffechino
coffee,please make a coffee for me
music,i want to hear snow by red hot chili peppers
hue_lightoff,turn off room lights
hue_lightchange,fi <unk> the light which has one hundred and fifty watts
cleaning,turn on the vacuum cleaner while i am gone
volume_mute,turn off the sounds
volume_mute,mute sound
hue_lightup,light ko raise karo
volume_mute,turn off sound
music,play music from workout playlist
taxi,book a taxi at my home address for right now
music,hey play me a popular country song
music,play the song let it go
music,play neverland by metallica
music,please play help
hue_lightdim,minimize the light power
music,music third day
music,play me some radiohead
music,i want to listen to george strait
taxi,book a taxi to the airport for tomorrow morning
cleaning,start the vacuum at nine am
hue_lightup,brighten the lights please
volume_mute,mute for twenty minutes
volume_down,decrease the volume to ten percent
music,play the last played playlist
hue_lightoff,give me dark
hue_lightdim,i need to turn the lights down
music,please play some jazz misic
hue_lightoff,did i leave the light on in the garage
volume_down,you're too loud
music,play more music like that
music,play something with three or more stars from new music
hue_lighton,it's too dark here
music,play joy division
hue_lightoff,turn off all the lights in the living room and den
music,play jazz music
music,play <unk>
volume_up,can you turn the volume up
music,play firefly by mura masa
music,play all songs by anirudh
taxi,find the nearest uber
music,open playlist five
music,after this song ends i want to hear hotel california next
cleaning,start irobot
music,play my recently downloaded songs
hue_lightdim,can you turn down the lights by twenty percent
volume_down,could you please lower your volume
music,play music in queue
volume_mute,stop
music,get set need me music track
hue_lightchange,please change lights colour to red
volume_mute,get yourself muted
music,put the gym playlist next in queue
music,play lady gaga
order,order the best priced general tofu in nyack
music,start my play list
music,play my killers playlist please
taxi,schedule an uber in twenty minutes to tesco on fifth street
hue_lightoff,please turn off all the lights outdoor
volume_up,raise the volume of the current music
music,play my soundtrack
music,play mocking bird by eminem
order,i would like to order takeaway
music,play my first favorite song on loop
taxi,find an uber on twenty ninth
volume_mute,hey siri mute the speakers
music,play item one
music,play my top rated pop songs please
coffee,make me a coffee please
coffee,please make a coffee
music,can you play a song by aerosmith
hue_lightup,please brighten the lights
volume_up,i can't hear you speak up
music,bring up my last playlist from tidal
music,play songs
cleaning,start house cleanup
music,spotify
volume_mute,silent
music,play britney spears crazy
music,shuffle songs by coldplay
coffee,start coffee
hue_lightdim,attenuate the lights
taxi,get me a uber
music,play on loop the devil went down to georgia for me
volume_up,i want the speakers turned up high
music,i would like to hear some blues
music,play songs from the r. n. b. and soul genre
hue_lightoff,lights off bathroom
music,play some tracks by michael jackson
coffee,i need some coffee please
taxi,could you please book a cab for me in uber from la to ny today
music,play the song next to the one playing now
music,play recentl added songs
music,play the latest song of eminem
volume_up,raise the volume to ma <unk>
