statement,label_binary
"Nearly 40,000 new jobs have been created in the last year due to the new wells . . . right here in Ohio.",1
Obama was enrolled in a Wahabi school in Jakarta. Wahabism is the RADICAL teaching that is followed by the Muslim terrorists who are now waging Jihad against the western world.,1
"Rubio's tax swap proposal ""would have been a massive tax increase.""",1
Says Texas retained the right to have a navy when it joined the United States.,1
"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",1
"All legislative mail, from the content to the timing, is approved by the speakers office.",1
Terry McAuliffe has threatened to shut down Virginias government if his budget plan isnt supported.,1
Says the new Dodd-Frank financial law requires a 20 percent down payment to buy a house.,1
We have invested record funding in protecting our environment.,1
Milwaukees police chief can fire officers for basically no cause.,1
I represent the fourth-poorest (congressional) district in the nation.,1
Says Majority Leader Eric Cantor called for abolishing Social Security and Medicare.,1
"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.",1
It takes as much energy to make a solar panel as it likely generates in its entire life.,1
The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.,1
"It will cost $50,000 per enrollee in Obamacare over the next 10 years.",1
"Says Obama called Israel ""a constant sore"" that infects U.S. foreign policy.",1
1.3-million people in America make their living off eBay.,1
Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,1
The Justice Departments Fast and Furious gun-walking program started in the Bush administration.,1
"Preventive care saves money, for families, for businesses, for government, for everybody.",1
Says Gov. Scott Walker is openly backing a move to abolish the state retirement system and convert it to a 401(k)-style plan that will reduce pensions by at least a third for current and retired public employees,1
No Bridge to Nowhere could occur.,1
Weve lost 26 million jobs since (Obamas) been president.,1
"In the past, President Obama has refused to meet with representatives from Cuban exile organizations.",1
"Janice Hahn hired hard-core gang members with taxpayer money to be gang-intervention specialists. She even helped them get out of jail, so they could rape and kill again.",1
Says a question about his financial skills at the CNBC debate included discredited attacks from Democrats and my political opponents.,1
"On whether he supports 'Don't Ask, Don't Tell.'",1
Says Rick Scott has teamed up with a felon convicted of running a Ponzi scheme to smear Charlie Crist.,1
Says over 1 million signatures were submitted in attempt to recall Gov. Scott Walker.,1
For the last decade the climate has been cooling.,1
Says Mitt Romneys investments created zero jobs.,1
Says Mitt Romney would deny gay people the right to adopt children.,1
